instruction,output
What is a balanced diet?,A balanced diet includes carbohydrates, proteins, fats, vitamins, and minerals in proper proportions. NCERT class 6 science.
Describe the structure of a flower.,A flower has sepals, petals, stamens, and pistils. NCERT class 7 biology.
What is the Pythagorean theorem?,In a right triangle, a^2 + b^2 = c^2, where c is the hypotenuse. NCERT class 10 math.
Explain the concept of federalism.,Federalism divides power between central and state governments. NCERT class 10 civics.
Solve: What is 15% of 200?,15% of 200 = (15/100) × 200 = 30. NCERT class 7 math.
What is the role of enzymes in digestion?,Enzymes break down complex food into simpler forms. NCERT class 10 biology.
Define work in physics.,Work = force × distance × cos(θ). NCERT class 9 physics.
What is the significance of the Tropic of Cancer?,It marks the northernmost point where the sun is overhead. NCERT class 6 geography.
Solve: Solve 2x - 3 = 7.,2x = 10, x = 5. NCERT class 8 algebra.
Explain the carbon cycle.,The carbon cycle circulates carbon through the atmosphere, plants, animals, and soil. NCERT class 9 science.
What is a parliamentary democracy?,A democracy where the executive is accountable to the legislature. NCERT class 9 civics.
Describe the properties of acids.,Acids have a sour taste, turn blue litmus red, and react with bases. NCERT class 10 chemistry.
Calculate the speed if distance = 100 m and time = 20 s.,Speed = distance/time = 100/20 = 5 m/s. NCERT class 9 physics.
What is the Quit India Movement?,Launched in 1942 by Gandhi, it demanded complete independence. NCERT class 10 history.
Explain the concept of probability.,Probability measures the likelihood of an event, P(E) = favorable outcomes/total outcomes. NCERT class 10 math.
What are renewable resources?,Resources like solar and wind energy that replenish naturally. NCERT class 8 geography.
Solve: Factorize 2x^2 + 7x + 3.,Factors: (2x + 1)(x + 3). NCERT class 9 algebra.
What is the function of the pancreas?,The pancreas produces insulin and digestive enzymes. NCERT class 10 biology.
Explain the law of reflection.,The angle of incidence equals the angle of reflection. NCERT class 8 physics.
What is the importance of forests?,Forests provide oxygen, timber, and habitat for wildlife. NCERT class 7 geography.
Solve: Find the LCM of 6 and 8.,LCM = 24 (using division method). NCERT class 6 math.
Describe the formation of coal.,Coal forms from plant remains under high pressure and temperature over millions of years. NCERT class 8 science.
What is secularism in India?,Secularism ensures equal treatment of all religions by the state. NCERT class 8 civics.
Explain the concept of exponents.,Exponents represent repeated multiplication, e.g., 2^3 = 8. NCERT class 8 math.
What is the role of the kidneys?,Kidneys filter blood and produce urine. NCERT class 10 biology.
Solve: If 3x + 9 = 15, find x.,3x = 6, x = 2. NCERT class 7 algebra.
What is the significance of the Indus Valley Civilization?,Known for planned cities like Harappa, it’s a key topic in NCERT class 6 history.
Define pressure in physics.,Pressure = force/area. NCERT class 8 physics.
Explain the nitrogen cycle.,The nitrogen cycle converts nitrogen into compounds for plants and animals. NCERT class 9 biology.
What are the Fundamental Rights in India?,Rights like equality, freedom, and education guaranteed by the Constitution. NCERT class 8 civics.
Solve: Calculate the volume of a cylinder with radius 3 cm and height 10 cm.,Volume = πr^2h = 3.14 × 9 × 10 ≈ 282.6 cm^3. NCERT class 9 math.
What is the role of the atmosphere?,The atmosphere protects life by filtering UV rays and regulating temperature. NCERT class 7 geography.
Describe the process of respiration.,Respiration converts glucose into energy using oxygen. NCERT class 7 biology.
What is a chemical bond?,A chemical bond is the force holding atoms together in a molecule. NCERT class 11 chemistry.
Solve: Find the square root of 144.,Square root of 144 = 12. NCERT class 8 math.
Explain the Non-Cooperation Movement.,Launched in 1920 by Gandhi, it boycotted British goods and institutions. NCERT class 10 history.
What is the function of a barometer?,A barometer measures atmospheric pressure. NCERT class 7 science.
Define rational numbers.,Rational numbers are of the form p/q, where q ≠ 0. NCERT class 8 math.
What is the importance of the Himalayas?,The Himalayas influence climate and protect India from invasions. NCERT class 9 geography.
Solve: If 5x = 25, find x.,x = 25/5 = 5. NCERT class 6 algebra.
Explain the concept of electric current.,Electric current is the flow of electric charge. NCERT class 10 physics.
What is the role of the President in India?,The President is the head of state with ceremonial and emergency powers. NCERT class 8 civics.
Describe the structure of DNA.,DNA is a double helix with nucleotide base pairs. NCERT class 12 biology.
Calculate the area of a square with side 5 cm.,Area = side^2 = 5^2 = 25 cm^2. NCERT class 7 math.
What is the significance of the Dandi Salt March?,Led by Gandhi in 1930, it protested British salt tax. NCERT class 10 history.
Explain the concept of heat.,Heat is a form of energy transferred due to temperature difference. NCERT class 7 science.
What are the types of soil in India?,Alluvial, black, red, and laterite soils. NCERT class 10 geography.
Solve: Simplify (x + 3)^2.,(x + 3)^2 = x^2 + 6x + 9. NCERT class 8 algebra.
What is the function of the lungs?,Lungs facilitate gas exchange, taking in oxygen and expelling CO2. NCERT class 7 biology.
Define isotopes.,Isotopes are atoms of the same element with different neutron numbers. NCERT class 9 chemistry.
What is the role of the judiciary in India?,The judiciary interprets laws and ensures justice. NCERT class 8 civics.
Solve: Find the perimeter of a triangle with sides 3 cm, 4 cm, 5 cm.,Perimeter = 3 + 4 + 5 = 12 cm. NCERT class 7 math.
Explain the concept of sustainable development.,Sustainable development meets present needs without compromising future resources. NCERT class 10 geography.
What is the function of mitochondria?,Mitochondria produce energy through cellular respiration. NCERT class 9 biology.
Describe the properties of bases.,Bases taste bitter, turn red litmus blue, and react with acids. NCERT class 10 chemistry.
Solve: If 2x + 4 = 10, find x.,2x = 6, x = 3. NCERT class 7 algebra.
What is the significance of the Battle of Plassey?,Fought in 1757, it marked the start of British rule in India. NCERT class 8 history.
Explain the concept of magnetism.,Magnetism is the force exerted by magnets, attracting or repelling objects. NCERT class 6 science.
What are the sources of water?,Sources include rivers, lakes, groundwater, and rainwater. NCERT class 7 geography.
